Phrase ^ Count
saith the lord  ^ 731
and the  ^ 717
said unto  ^ 559
in the  ^ 434
thus saith  ^ 383
the lord god  ^ 355
him and  ^ 303
the children of israel  ^ 295
into the  ^ 244
before the lord  ^ 215
unto moses  ^ 198
for the  ^ 189
the lord of hosts  ^ 181
the lord thy god  ^ 179
that i  ^ 177
of the  ^ 174
which the lord  ^ 170
spoke unto  ^ 168
the lord  ^ 158
son of man  ^ 148
and the lord said  ^ 147
of the children of israel  ^ 141
jesus christ  ^ 139
i am the lord  ^ 139
answered and said  ^ 137
all the  ^ 135
the son  ^ 134
for the lord  ^ 132
by the  ^ 132
and jesus  ^ 131
them and  ^ 130
unto the lord  ^ 126
this day  ^ 123
and he  ^ 123
and said  ^ 121
all that  ^ 120
king of judah  ^ 120
and his  ^ 120
but the  ^ 119
years old  ^ 116
the people  ^ 115
me and  ^ 114
of god and  ^ 113
i say unto you  ^ 112
god of israel  ^ 110
and all the people  ^ 110
and the lord spoke  ^ 110
from the  ^ 110
all these  ^ 109
the word of the lord  ^ 108
the world  ^ 108
came unto  ^ 107
and all  ^ 106
unto the  ^ 105
said unto him  ^ 105
and said unto  ^ 104
of the lord came  ^ 102
that the  ^ 102
that the lord  ^ 101
the word  ^ 100
on the  ^ 99
came to  ^ 98
for i  ^ 97
the kingdom  ^ 95
lord jesus  ^ 94
the father  ^ 94
the lord commanded  ^ 94
and the children of israel  ^ 92
the earth  ^ 92
his disciples  ^ 92
out of the  ^ 91
for all  ^ 89
the temple  ^ 88
in that day  ^ 88
and he said  ^ 88
as the lord  ^ 87
god and  ^ 87
unto him  ^ 85
to the  ^ 84
and they  ^ 84
and in  ^ 82
of the lord  ^ 82
this is  ^ 81
and he said unto  ^ 81
moses saying  ^ 81
no more  ^ 80
in the sight of the lord  ^ 78
from heaven  ^ 77
verily i say  ^ 77
you and  ^ 76
unto them  ^ 76
but if  ^ 75
all the people  ^ 75
is the  ^ 74
for this  ^ 74
said unto them  ^ 74
seven days  ^ 73
this people  ^ 73
then said  ^ 73
saw that  ^ 72
i am  ^ 72
the jews  ^ 72
and when  ^ 72
with the  ^ 71
the land which  ^ 70
the lord your god  ^ 69
the spirit  ^ 69
not the  ^ 69
unto this  ^ 68
the law  ^ 68
that day  ^ 67
said to  ^ 67
and not  ^ 67
with him  ^ 67
he said  ^ 66
and if  ^ 65
unto the children  ^ 65
jesus said  ^ 65
and all that  ^ 64
for if  ^ 64
the sea  ^ 63
kingdom of god  ^ 63
unto the king  ^ 63
for thus  ^ 63
the land of egypt  ^ 63
jesus answered  ^ 63
and david said  ^ 62
of god  ^ 62
and behold  ^ 62
upon the  ^ 62
him saying  ^ 62
with all  ^ 61
father and  ^ 61
in him  ^ 61
therefore thus  ^ 61
not for  ^ 60
speak unto  ^ 60
of the tabernacle of the congregation  ^ 60
the god of israel  ^ 60
in christ  ^ 59
and it came to pass  ^ 59
over israel  ^ 58
for they  ^ 58
according to all that  ^ 58
the lord for  ^ 58
earth and  ^ 58
reigned in his stead  ^ 57
for thou  ^ 57
and the king said  ^ 57
of the house of the lord  ^ 57
king of israel  ^ 57
which i  ^ 57
unto me saying  ^ 57
in the book  ^ 56
commanded moses  ^ 56
for he  ^ 55
christ jesus  ^ 55
is not  ^ 55
these words  ^ 54
him but  ^ 54
unto all  ^ 54
out of the land of egypt  ^ 54
for god  ^ 53
in the lord  ^ 53
at the  ^ 53
the house of israel  ^ 53
to jerusalem  ^ 53
of the first year  ^ 53
that were with  ^ 52
this thing  ^ 52
in my  ^ 52
unto you  ^ 52
but he  ^ 52
upon the earth  ^ 51
thee and  ^ 51
the chief priests  ^ 51
in the land of egypt  ^ 51
all israel  ^ 50
to the king  ^ 50
with them  ^ 50
lord and  ^ 50
heaven and  ^ 50
of jesus christ  ^ 49
among you  ^ 49
the same  ^ 49
in all  ^ 49
unto you that  ^ 49
jesus and  ^ 49
in his  ^ 49
behold i  ^ 49
of the jews  ^ 49
and moses said  ^ 49
saith unto him  ^ 49
the lord our god  ^ 48
saying thus  ^ 48
not that  ^ 48
in heaven  ^ 48
with his fathers  ^ 48
when the  ^ 48
and say unto  ^ 47
of the earth  ^ 47
with her suburbs  ^ 47
