first word id ^ word function phrase
1 ^ head
2 ^ head
3 ^ head
4 ^ head
5 ^ head qualifier
7 ^ head qualifier
9 ^ head
10 ^ head
11 ^ specifier head
13 ^ head
14 ^ head
15 ^ head
16 ^ specifier head
18 ^ head
19 ^ head
20 ^ head
21 ^ specifier head
23 ^ connector specifier head qualifier
27 ^ head
28 ^ head
29 ^ head
30 ^ specifier head
32 ^ connector specifier head
35 ^ specifier specifier head
38 ^ head
39 ^ head
40 ^ head
41 ^ specifier head
43 ^ head
44 ^ head
45 ^ head
46 ^ specifier head
48 ^ head
49 ^ head
50 ^ head
51 ^ specifier head
53 ^ head
54 ^ head
55 ^ head
56 ^ specifier head
58 ^ head
59 ^ head
60 ^ head
61 ^ specifier head
63 ^ head
64 ^ head
65 ^ head
66 ^ specifier head
68 ^ specifier specifier head
71 ^ head
72 ^ head
73 ^ head
74 ^ specifier head
76 ^ specifier specifier head
79 ^ head
80 ^ head
81 ^ head
82 ^ specifier head
84 ^ head
85 ^ head
86 ^ head
87 ^ specifier head
89 ^ specifier head
91 ^ head
92 ^ head
93 ^ head
94 ^ specifier head
96 ^ specifier head
98 ^ specifier head
100 ^ head
101 ^ head
102 ^ head
103 ^ specifier head
105 ^ head
106 ^ head
107 ^ head
108 ^ specifier head
110 ^ head
111 ^ head
112 ^ head
113 ^ specifier head
115 ^ head
116 ^ head
117 ^ head
118 ^ specifier head
120 ^ head
121 ^ head
122 ^ head
123 ^ specifier head
125 ^ head
126 ^ head
127 ^ head
128 ^ specifier head
130 ^ head
131 ^ head
132 ^ head
133 ^ specifier head
135 ^ head
136 ^ head
137 ^ head
138 ^ specifier head
140 ^ head
141 ^ head
142 ^ head
143 ^ specifier head
145 ^ head
146 ^ head
147 ^ head
148 ^ specifier head
150 ^ head
151 ^ head
152 ^ head
153 ^ specifier head
155 ^ head
156 ^ head
157 ^ head
158 ^ specifier head
160 ^ head
161 ^ head
162 ^ head
163 ^ specifier head
165 ^ connector specifier head qualifier
169 ^ specifier specifier head qualifier
173 ^ specifier
174 ^ head
175 ^ specifier head qualifier
178 ^ head
179 ^ head
180 ^ specifier head
182 ^ head
183 ^ head
184 ^ head
185 ^ specifier head
187 ^ head
188 ^ head
189 ^ head
190 ^ specifier head
192 ^ head
193 ^ head
194 ^ head
195 ^ specifier head
197 ^ head
198 ^ head
199 ^ head
200 ^ specifier head
202 ^ head
203 ^ head
204 ^ head
205 ^ specifier head
207 ^ head
208 ^ head
209 ^ head
210 ^ specifier head
212 ^ head
213 ^ head
214 ^ head
215 ^ specifier head
217 ^ head
218 ^ head
219 ^ head
220 ^ specifier head
222 ^ head
223 ^ head
224 ^ head
225 ^ specifier head
227 ^ head
228 ^ head
229 ^ head
230 ^ specifier head
232 ^ head
233 ^ head
234 ^ head
235 ^ specifier head
237 ^ specifier head qualifier
240 ^ specifier head
242 ^ head
243 ^ head
244 ^ specifier head
246 ^ head
247 ^ definer
248 ^ head
249 ^ specifier head
251 ^ specifier head
253 ^ specifier head
255 ^ head definer
257 ^ head
258 ^ specifier head
260 ^ specifier specifier head qualifier
264 ^ head definer
266 ^ head
267 ^ specifier specifier head qualifier
271 ^ specifier specifier head
274 ^ head definer
276 ^ specifier
277 ^ head
278 ^ head definer specifier head
282 ^ head
283 ^ head
284 ^ head
285 ^ specifier head qualifier definer
289 ^ specifier head
291 ^ head head head
294 ^ head
295 ^ head
296 ^ specifier head
298 ^ head
299 ^ specifier head definer
302 ^ head
303 ^ head
304 ^ specifier head qualifier
307 ^ head
308 ^ head
309 ^ head
310 ^ head
311 ^ head
312 ^ head
313 ^ head
314 ^ head
315 ^ head
316 ^ head
317 ^ head
318 ^ head
319 ^ head
320 ^ head
321 ^ head
322 ^ head
323 ^ head qualifier
325 ^ specifier head
327 ^ head
328 ^ head
329 ^ head
330 ^ head
331 ^ head qualifier
333 ^ head
334 ^ head
335 ^ head
336 ^ head
337 ^ specifier head qualifier
340 ^ specifier
341 ^ head
342 ^ specifier head
344 ^ head
345 ^ specifier head
347 ^ head
348 ^ definer
349 ^ head
350 ^ head
351 ^ head
352 ^ head
353 ^ head
