subclause word index ^ length
14 ^ then
19 ^ then
28 ^ then
39 ^ then
44 ^ then
49 ^ then
54 ^ then
59 ^ then
64 ^ then
72 ^ then
80 ^ then
85 ^ then
92 ^ then
101 ^ then
106 ^ then
111 ^ then
116 ^ then
121 ^ then
126 ^ then
131 ^ then
136 ^ then
141 ^ then
146 ^ then
151 ^ then
156 ^ then
161 ^ then
174 ^ then
175 ^ the carrying away to babylon:
183 ^ then
188 ^ then
193 ^ then
198 ^ then
203 ^ then
208 ^ then
213 ^ then
218 ^ then
223 ^ then
228 ^ then
233 ^ then
248 ^ therefore
249 ^ the generations
257 ^ and
266 ^ and
277 ^ now
303 ^ now,
309 ^ and
319 ^ now
341 ^ for
350 ^ then
352 ^ and
359 ^ for
369 ^ then
370 ^ all
372 ^ that
388 ^ and
391 ^ and
405 ^ then
412 ^ as
418 ^ and
423 ^ and
431 ^ and
438 ^ now
439 ^ jesus
466 ^ for
473 ^ and
478 ^ then
483 ^ and
488 ^ and
505 ^ and
513 ^ for
518 ^ and
532 ^ for
556 ^ and
568 ^ when
569 ^ then
573 ^ so that
579 ^ and
584 ^ and
595 ^ until
604 ^ now
611 ^ and
624 ^ and
628 ^ and
641 ^ and
658 ^ then
677 ^ and
681 ^ and
684 ^ until
689 ^ for
698 ^ and
708 ^ and
712 ^ and
719 ^ so that
738 ^ that
745 ^ and
794 ^ and
798 ^ because
802 ^ now
824 ^ and
830 ^ for
838 ^ and
847 ^ and
853 ^ now
854 ^ that
868 ^ now
877 ^ and
884 ^ so that
891 ^ that
895 ^ then
896 ^ the days those,
909 ^ and
913 ^ for
919 ^ for
943 ^ now
944 ^ - john
953 ^ and
961 ^ and
962 ^ the food
974 ^ and
984 ^ and
997 ^ now
1021 ^ therefore
1026 ^ and
1037 ^ for
1039 ^ that
1052 ^ now
1062 ^ therefore
1063 ^ tree
1069 ^ and
1074 ^ indeed
1082 ^ but
1111 ^ and
1116 ^ and
1125 ^ but
1126 ^ chaff
1148 ^ but
1149 ^ john
1159 ^ and
1165 ^ however,
1174 ^ for
1185 ^ now,
1193 ^ and
1199 ^ and
1208 ^ and
1212 ^ and
1243 ^ and
1252 ^ and
1258 ^ if
1264 ^ that
1271 ^ but
1282 ^ but
1299 ^ and
1307 ^ and
1310 ^ if
1319 ^ for
1320 ^ -:
1327 ^ and
1332 ^ lest ever
1360 ^ and
1372 ^ and
1379 ^ if
1391 ^ for:
1397 ^ and
1406 ^ and
1410 ^ and
1414 ^ now
1415 ^ that
1422 ^ and
1437 ^ that
1468 ^ and
1485 ^ and
1489 ^ for
1495 ^ now
1519 ^ for
1521 ^ and
1527 ^ and
1533 ^ and
1540 ^ and
1568 ^ and
1572 ^ and
1583 ^ and
1594 ^ and
1600 ^ and
1610 ^ and
1619 ^ and
1631 ^ and
1633 ^ and
1637 ^ and
1640 ^ and
1659 ^ then
1666 ^ and
1674 ^ and
1687 ^ for
1697 ^ for
1703 ^ for
1711 ^ and
1715 ^ for
1721 ^ for
1729 ^ for
1737 ^ for
1747 ^ for
1756 ^ when
1759 ^ and
1761 ^ and
1771 ^ and
1773 ^ for
1782 ^ for
1795 ^ if,
1796 ^ however,
1807 ^ if
1831 ^ and
1837 ^ but
1841 ^ and
1856 ^ so that
1862 ^ and
1873 ^ that
1884 ^ but
1887 ^ for
1890 ^ until
1909 ^ until
1915 ^ then
1923 ^ and
1936 ^ now
1939 ^ and
1950 ^ for
1952 ^ that
1953 ^ if
1973 ^ that
1980 ^ now
1988 ^ however
1991 ^ that
2003 ^ now
2015 ^ now
2026 ^ if
2027 ^ therefore
2037 ^ that
2053 ^ and
2060 ^ and
2088 ^ and
2093 ^ and
2104 ^ until
2111 ^ that
2116 ^ however
2119 ^ that
2135 ^ if
2136 ^ now
2146 ^ and
2151 ^ indeed
2153 ^ that
2159 ^ and
2168 ^ and
2169 ^ if
2178 ^ and
2183 ^ indeed
2185 ^ that
2191 ^ and
2201 ^ also,
2212 ^ however
2215 ^ that
2228 ^ and
2236 ^ that
2243 ^ now
2250 ^ however
2260 ^ because
2269 ^ because
2278 ^ because
2290 ^ because
2300 ^ however
2309 ^ however
2310 ^ more than these,
2317 ^ that
2322 ^ and
2327 ^ however
2334 ^ instead,
2348 ^ and
2353 ^ and
2360 ^ also
2363 ^ and
2377 ^ and
2386 ^ that
2392 ^ and
2398 ^ however
2405 ^ and
2411 ^ so that
2420 ^ for
2429 ^ and
2435 ^ if
2436 ^ for
2445 ^ also
2451 ^ and
2452 ^ if
2469 ^ therefore
2472 ^ as
2481 ^ now
2494 ^ if
2495 ^ now
2508 ^ when
2509 ^ therefore
2516 ^ as
2527 ^ so that
2540 ^ however
2553 ^ so that
2561 ^ and
2572 ^ and
2573 ^ when
2580 ^ for
2593 ^ so that
2605 ^ however,
2606 ^ when
2613 ^ and
2626 ^ and
2638 ^ now
2641 ^ like
2645 ^ for
2646 ^ that
2653 ^ therefore
2657 ^ for
2670 ^ therefore
2705 ^ and
2711 ^ as
2712 ^ also
2718 ^ and
2724 ^ but
2730 ^ if
2731 ^ for
2739 ^ also
2746 ^ if
2747 ^ however
2760 ^ whenever
2761 ^ now
2770 ^ for
2774 ^ so that
2787 ^ however,
2793 ^ and
2798 ^ so that
2804 ^ but
2812 ^ and
2830 ^ where
2835 ^ and
2836 ^ where
2839 ^ and
2842 ^ however
2847 ^ where
2853 ^ and
2854 ^ where
2858 ^ nor
2860 ^ where
2861 ^ for
2868 ^ also
2879 ^ if
2880 ^ therefore
2892 ^ if
2893 ^ however
2905 ^ if
2906 ^ then
2922 ^ either
2923 ^ for
2927 ^ and
2931 ^ or
2934 ^ and
2955 ^ or
2958 ^ nor
