first word id ^ subclause gloss
1 ^ [the] book
2 ^ of [the] genealogy
3 ^ of jesus
4 ^ christ,
5 ^ son of david,
7 ^ son of abraham:
9 ^ abraham
10 ^ begat
11 ^ - isaac,
13 ^ isaac
14 ^ then
15 ^ begat
16 ^ - jacob,
18 ^ jacob
19 ^ then
20 ^ begat
21 ^ - judah
23 ^ and the brothers of him.
27 ^ judah
28 ^ then
29 ^ begat
30 ^ - perez
32 ^ and - zerah
35 ^ out of - tamar,
38 ^ perez
39 ^ then
40 ^ begat
41 ^ - hezron,
43 ^ hezron
44 ^ then
45 ^ begat
46 ^ - ram.
48 ^ ram
49 ^ then
50 ^ begat
51 ^ - amminadab,
53 ^ amminadab
54 ^ then
55 ^ begat
56 ^ - nahshon,
58 ^ nahshon
59 ^ then
60 ^ begat
61 ^ - salmon.
63 ^ salmon
64 ^ then
65 ^ begat
66 ^ - boaz
68 ^ out of - rahab,
71 ^ boaz
72 ^ then
73 ^ begat
74 ^ - obed
76 ^ out of - ruth,
79 ^ obed
80 ^ then
81 ^ begat
82 ^ - jesse,
84 ^ jesse
85 ^ then
86 ^ begat
87 ^ - david
89 ^ the king.
91 ^ david
92 ^ then
93 ^ begat
94 ^ - solomon
96 ^ out of the [wife]
98 ^ - of uriah,
100 ^ solomon
101 ^ then
102 ^ begat
103 ^ - rehoboam,
105 ^ rehoboam
106 ^ then
107 ^ begat
108 ^ - abijah,
110 ^ abijah
111 ^ then
112 ^ begat
113 ^ - asa.
115 ^ asa
116 ^ then
117 ^ begat
118 ^ - jehoshaphat,
120 ^ jehoshaphat
121 ^ then
122 ^ begat
123 ^ - joram,
125 ^ joram
126 ^ then
127 ^ begat
128 ^ - uzziah.
130 ^ uzziah
131 ^ then
132 ^ begat
133 ^ - jotham,
135 ^ jotham
136 ^ then
137 ^ begat
138 ^ - ahaz,
140 ^ ahaz
141 ^ then
142 ^ begat
143 ^ - hezekiah.
145 ^ hezekiah
146 ^ then
147 ^ begat
148 ^ - manasseh,
150 ^ manasseh
151 ^ then
152 ^ begat
153 ^ - amos,
155 ^ amos
156 ^ then
157 ^ begat
158 ^ - josiah,
160 ^ josiah
161 ^ then
162 ^ begat
163 ^ - jeconiah
165 ^ and the brothers of him
169 ^ at [the time] of the carrying away to babylon.
173 ^ after
174 ^ then
175 ^ the carrying away to babylon:
178 ^ jeconiah
179 ^ begat
180 ^ - shealtiel,
182 ^ shealtiel
183 ^ then
184 ^ begat
185 ^ - zerubbabel,
187 ^ zerubbabel
188 ^ then
189 ^ begat
190 ^ - abiud,
192 ^ abiud
193 ^ then
194 ^ begat
195 ^ - eliakim,
197 ^ eliakim
198 ^ then
199 ^ begat
200 ^ - azor.
202 ^ azor
203 ^ then
204 ^ begat
205 ^ - zadok,
207 ^ zadok
208 ^ then
209 ^ begat
210 ^ - achim,
212 ^ achim
213 ^ then
214 ^ begat
215 ^ - eliud.
217 ^ eliud
218 ^ then
219 ^ begat
220 ^ - eleazar,
222 ^ eleazar
223 ^ then
224 ^ begat
225 ^ - matthan,
227 ^ matthan
228 ^ then
229 ^ begat
230 ^ - jacob,
232 ^ jacob
233 ^ then
234 ^ begat
235 ^ - joseph,
237 ^ the husband of mary,
240 ^ out of whom
242 ^ was born
243 ^ jesus,
244 ^ the [one] being called
246 ^ christ.
247 ^ all
248 ^ therefore
249 ^ the generations
251 ^ from abraham
253 ^ to david [were]
255 ^ generations fourteen;
257 ^ and
258 ^ from david
260 ^ until the carrying away to babylon,
264 ^ generations fourteen;
266 ^ and
267 ^ from the carrying away to babylon
271 ^ until the christ,
274 ^ generations fourteen.
276 ^ -
277 ^ now
278 ^ of jesus christ the birth
282 ^ thus
283 ^ came about:
284 ^ having been pledged
285 ^ the mother of him mary
289 ^ - to joseph,
291 ^ before rather coming together
294 ^ of them,
295 ^ she was found
296 ^ in womb
298 ^ having [a child]
299 ^ out of [the] spirit holy.
302 ^ joseph
303 ^ now,
304 ^ the husband of her,
307 ^ righteous
308 ^ being,
309 ^ and
310 ^ not
311 ^ willing
312 ^ her
313 ^ to expose publicly,
314 ^ purposed
315 ^ secretly
316 ^ to send away
317 ^ her.
318 ^ these things
319 ^ now
320 ^ of him
321 ^ having pondered,
322 ^ behold,
323 ^ an angel of [the] lord
325 ^ in a dream
327 ^ appeared
328 ^ to him,
329 ^ saying,
330 ^ joseph,
331 ^ son of david,
333 ^ not
334 ^ you should fear
335 ^ to receive
336 ^ mary
337 ^ [as] the wife of you;
340 ^ that
341 ^ for
342 ^ in her
344 ^ having been conceived,
345 ^ from [the] spirit
347 ^ is,
348 ^ holy.
349 ^ she will bear
350 ^ then
351 ^ a son,
352 ^ and
353 ^ you will call
354 ^ the name of him
357 ^ jesus;
358 ^ he
359 ^ for
360 ^ will save
361 ^ the people of him
364 ^ from the sins of them.
368 ^ this
369 ^ then
370 ^ all
371 ^ has come to pass,
372 ^ that
373 ^ may be fulfilled
374 ^ that having been spoken
376 ^ by the lord
378 ^ through the prophet,
381 ^ saying,
382 ^ behold,
383 ^ the virgin
385 ^ in womb
387 ^ will hold,
388 ^ and
389 ^ will bear
390 ^ a son,
391 ^ and
392 ^ they will call
393 ^ the name of him
396 ^ immanuel,”
397 ^ which
398 ^ is
399 ^ being translated,
400 ^ with us
402 ^ - god.
404 ^ having been awoken
405 ^ then
406 ^ - joseph
408 ^ from the sleep,
411 ^ he did
412 ^ as
413 ^ had commanded
414 ^ him
415 ^ the angel of [the] lord,
418 ^ and
419 ^ received
420 ^ the wife of him,
423 ^ and
424 ^ not
425 ^ knew
426 ^ her
427 ^ until that
429 ^ she had brought forth
430 ^ a son;
431 ^ and
432 ^ he called
433 ^ the name of him
436 ^ jesus.
437 ^ -
438 ^ now
439 ^ jesus
440 ^ having been born
441 ^ in bethlehem
443 ^ - of judea,
445 ^ in [the] days
447 ^ of herod
448 ^ the king,
450 ^ behold,
451 ^ magi
452 ^ from [the] east
454 ^ arrived
455 ^ in jerusalem,
457 ^ saying,
458 ^ where
459 ^ is
460 ^ the [one]
461 ^ having been born king
463 ^ of the jews?
465 ^ we saw
466 ^ for
467 ^ of him the star
470 ^ in the east,
473 ^ and
474 ^ are come
475 ^ to worship
476 ^ him.
477 ^ having heard
478 ^ then
479 ^ - king herod,
482 ^ he was troubled,
483 ^ and
484 ^ all jerusalem
486 ^ with him.
488 ^ and
489 ^ having gathered together
490 ^ all the chief priests
493 ^ and scribes
495 ^ of the people,
497 ^ he was inquiring
498 ^ of them
500 ^ where
501 ^ the christ
503 ^ was to be born.
504 ^ -
505 ^ and
506 ^ they said
507 ^ to him,
508 ^ in bethlehem
510 ^ - of judea,
512 ^ thus
513 ^ for
514 ^ has it been written
515 ^ through the prophet:
518 ^ and
519 ^ you,
520 ^ bethlehem,
521 ^ land of judah,
523 ^ by no means
524 ^ least
525 ^ are
526 ^ among the rulers of judah,
530 ^ out of you
532 ^ for
533 ^ will go forth
534 ^ [one] leading,
535 ^ who
536 ^ will shepherd
537 ^ the people of me
540 ^ - israel.’
542 ^ then
543 ^ herod,
544 ^ secretly
545 ^ having called
546 ^ the magi,
548 ^ inquired exactly
549 ^ of them
551 ^ the time
553 ^ of the
554 ^ appearing star.
556 ^ and
557 ^ having sent
558 ^ them
559 ^ to bethlehem,
561 ^ he said,
562 ^ having gone,
563 ^ search
564 ^ carefully
565 ^ for the child;
568 ^ when
569 ^ then
570 ^ you shall have found [him],
571 ^ bring word back
572 ^ to me,
573 ^ so that
574 ^ i also
575 ^ having come,
576 ^ may worship
577 ^ him.
578 ^ -
579 ^ and
580 ^ having heard
581 ^ the king,
583 ^ they went away;
584 ^ and
585 ^ behold,
586 ^ the star
588 ^ which
589 ^ they saw
590 ^ in the east
593 ^ went before
594 ^ them
595 ^ until
596 ^ having arrived,
597 ^ it stood
598 ^ over where
600 ^ was
601 ^ the child.
603 ^ having seen
604 ^ now
605 ^ the star,
607 ^ they rejoiced [with]
608 ^ joy great
610 ^ exceedingly.
611 ^ and
612 ^ having come
613 ^ into the house,
616 ^ they found
617 ^ the child
619 ^ with mary
621 ^ the mother of him,
624 ^ and
625 ^ having fallen down,
626 ^ they worshiped
627 ^ him;
628 ^ and
629 ^ having opened
630 ^ the treasures of them,
633 ^ they offered
634 ^ to him
635 ^ gifts,
636 ^ gold
637 ^ and frankincense
639 ^ and myrrh.
641 ^ and
642 ^ having been divinely warned
643 ^ in a dream
645 ^ not
646 ^ to return
647 ^ to herod,
649 ^ by another route
652 ^ they withdrew
653 ^ into the country of them.
657 ^ having withdrawn
658 ^ then
659 ^ of them,
660 ^ behold,
661 ^ an angel of [the] lord
663 ^ appears
664 ^ in a dream
